"Номер животного";"Дата рождения";"Дата архива";"Лактация";"Дата начала тек.лакт";"Дни в доении";"Статус коровы";"Дата осеменения";"Дата успешного осеменения";"Дни стельности";"Дата запуска тек.лакт";"Дата ожидаемого запуска";"Дата ожидаемого отела"
"1000";"19.01.2024";"25.04.2024";"0";"";"0";"Продана";"01.02.2025";"";"";"";"";""
"1001";"20.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"1002";"20.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"1003";"21.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"1004";"22.01.2024";"25.04.2024";"0";"";"0";"Продана";"";"";"";"";"";""
"1025";"01.01.2015";"";"8";"18.06.2024";"228";"Осемененная";"29.08.2024";"29.08.2024";"";"";"";""
"1305";"07.10.2015";"24.09.2024";"7";"01.09.2024";"0";"Продана";"";"";"";"";"";""
"1679";"01.12.2016";"24.04.2024";"5";"14.08.2023";"0";"Продана";"28.03.2024";"";"";"";"";""
"1997";"23.01.2016";"09.04.2024";"7";"06.02.2024";"0";"Продана";"";"";"";"";"";""
"2124";"20.05.2015";"03.10.2024";"8";"24.04.2024";"0";"Продана";"04.07.2024";"";"";"";"";""
"2322";"14.10.2016";"24.06.2024";"7";"19.06.2024";"0";"Продана";"";"";"";"";"";""
"2542";"27.07.2015";"25.06.2024";"6";"28.03.2023";"0";"Продана";"30.11.2023";"";"";"";"";""
"2570";"12.10.2016";"";"7";"20.09.2024";"134";"Дойная";"";"";"";"";"";""
"2577";"27.06.2016";"26.06.2024";"4";"29.05.2023";"0";"Продана";"19.10.2023";"19.10.2023";"";"17.05.2024";"";""
"2713";"29.09.2015";"22.04.2024";"6";"20.05.2023";"0";"Продана";"";"";"";"";"";""
"2776";"31.12.2016";"20.01.2025";"6";"17.01.2025";"0";"Продана";"";"";"";"";"";""
"2875";"16.09.2015";"08.05.2024";"7";"19.04.2024";"0";"Продана";"";"";"";"";"";""
"3243";"01.06.2015";"03.01.2025";"7";"01.07.2024";"0";"Продана";"12.09.2024";"12.09.2024";"";"";"";""
"3264";"31.10.2016";"19.11.2024";"6";"24.02.2024";"0";"Продана";"09.05.2024";"09.05.2024";"";"";"";""
"3304";"20.03.2015";"26.04.2024";"6";"25.02.2023";"0";"Продана";"19.10.2023";"";"";"";"";""
"3388";"13.12.2015";"31.01.2025";"5";"08.10.2022";"0";"Продана";"08.06.2023";"";"";"";"";""
"3395";"23.12.2015";"";"7";"03.08.2024";"182";"Дойная";"26.12.2024";"";"";"";"";""
"3411";"29.08.2016";"30.11.2024";"7";"25.11.2024";"0";"Продана";"";"";"";"";"";""
"3412";"04.09.2016";"31.01.2025";"7";"15.10.2024";"0";"Продана";"";"";"";"";"";""
"3460";"29.06.2015";"15.04.2024";"7";"31.03.2024";"0";"Продана";"";"";"";"";"";""
"3509";"08.06.2016";"";"7";"18.09.2024";"136";"Дойная";"28.11.2024";"";"";"";"";""
"3515";"04.02.2016";"";"7";"28.09.2024";"126";"Дойная";"";"";"";"";"";""
"3572";"02.10.2015";"20.05.2024";"6";"06.04.2023";"0";"Продана";"28.09.2023";"28.09.2023";"";"19.01.2024";"";""
"3584";"18.09.2015";"22.04.2024";"7";"22.09.2023";"0";"Продана";"30.11.2023";"30.11.2023";"";"";"";""
"3592";"18.10.2016";"30.09.2024";"5";"07.01.2023";"0";"Продана";"28.09.2023";"";"";"";"";""
"3604";"01.05.2015";"";"8";"30.10.2024";"94";"Осемененная";"09.01.2025";"09.01.2025";"";"";"";""
"3614";"31.01.2018";"";"6";"09.10.2024";"115";"Дойная";"";"";"";"";"";""
"3616";"05.07.2016";"11.08.2024";"6";"16.03.2024";"0";"Продана";"08.08.2024";"";"";"";"";""
"3701";"18.10.2015";"31.01.2025";"8";"29.05.2024";"0";"Продана";"";"";"";"";"";""
"3705";"12.06.2015";"07.07.2024";"6";"14.03.2023";"0";"Мертвое животное";"02.11.2023";"02.11.2023";"";"22.03.2024";"";""
"3723";"06.10.2016";"26.04.2024";"5";"11.04.2023";"0";"Продана";"22.06.2023";"";"";"";"";""
"3732";"12.12.2015";"17.01.2025";"7";"26.12.2024";"0";"Продана";"";"";"";"";"";""
"3752";"12.06.2015";"21.05.2024";"6";"16.05.2024";"0";"Продана";"";"";"";"";"";""
"3772";"17.01.2017";"01.07.2024";"6";"07.05.2024";"0";"Продана";"";"";"";"";"";""
"3875";"14.12.2015";"";"7";"22.08.2024";"163";"Дойная";"";"";"";"";"";""
"3882";"12.06.2015";"";"8";"21.12.2024";"42";"Дойная";"";"";"";"";"";""
"3916";"09.09.2015";"16.09.2024";"7";"02.10.2023";"0";"Продана";"14.12.2023";"14.12.2023";"";"12.07.2024";"";""
"3929";"08.10.2015";"31.01.2025";"6";"11.07.2023";"0";"Продана";"";"";"";"";"";""
"3943";"13.10.2015";"19.03.2024";"7";"15.03.2024";"0";"Продана";"";"";"";"";"";""
"3944";"14.10.2015";"07.11.2024";"8";"29.10.2024";"0";"Продана";"";"";"";"";"";""
"3964";"06.01.2016";"16.06.2024";"7";"15.06.2024";"0";"Продана";"";"";"";"";"";""
"4001";"08.04.2016";"17.04.2024";"6";"04.05.2023";"0";"Продана";"04.01.2024";"";"";"";"";""
"4071";"25.04.2015";"20.03.2024";"6";"04.01.2023";"0";"Продана";"03.08.2023";"";"";"";"";""
"4279";"08.07.2016";"02.12.2024";"7";"18.09.2024";"0";"Продана";"";"";"";"";"";""
"4311";"27.07.2016";"";"6";"06.06.2024";"240";"Дойная";"24.10.2024";"";"";"";"";""
"4316";"02.08.2016";"09.12.2024";"6";"19.02.2024";"0";"Продана";"07.11.2024";"";"";"";"";""
"4355";"03.09.2016";"19.08.2024";"7";"11.08.2024";"0";"Продана";"";"";"";"";"";""
"4387";"24.09.2015";"06.03.2024";"6";"27.03.2023";"0";"Продана";"08.06.2023";"";"";"";"";""
"4388";"05.10.2016";"26.03.2024";"6";"09.03.2024";"0";"Продана";"";"";"";"";"";""
"4531";"27.12.2015";"";"7";"27.01.2025";"5";"Дойная";"";"";"";"";"";""
"4540";"15.10.2015";"";"7";"23.12.2024";"40";"Дойная";"";"";"";"";"";""
"4604";"07.01.2016";"25.09.2024";"6";"25.02.2024";"0";"Продана";"22.08.2024";"";"";"";"";""
"4619";"28.06.2015";"26.04.2024";"6";"16.01.2023";"0";"Продана";"03.08.2023";"";"";"";"";""
"4704";"24.11.2015";"13.09.2024";"6";"19.05.2023";"0";"Продана";"18.01.2024";"";"";"";"";""
